,hex_id_9,dist_supermercados,dist_farmacias,dist_hospitales,pobtot,pobmas,centroid_coords,lat,lon,dist_promedio,min_farmacias,min_supermercados,min_hospitales
0,8949b32e687ffff,357.81276,730.07348,3184.49404,609.9557522123891,285.5088495575222,POINT (-99.22318722985527 18.88646587067028),18.886465870670282,-99.22318722985527,1424.12676,12.516046013269102,6.134178395707257,54.59351014040561
1,8949959318fffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.03377638870739 18.98735235106881),18.987352351068807,-99.0337763887074,0.0,0.0,0.0,0.0
2,8949b328b1bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.09898053256232 18.93809847005851),18.938098470058506,-99.09898053256232,0.0,0.0,0.0,0.0
3,89499592323ffff,7654.69,7455.443,22953.702,0.0,0.0,POINT (-99.07797555084456 19.00390433213895),19.00390433213895,-99.07797555084456,12687.945,127.81270679398604,131.22850628310846,393.50777459669814
4,8949b32d097ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.14884658413709 18.95862234180758),18.95862234180758,-99.14884658413709,0.0,0.0,0.0,0.0
5,8949b32daabffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.16120926317041 19.02963985849717),19.029639858497166,-99.1612092631704,0.0,0.0,0.0,0.0
6,8949b320473ffff,478.9153333333333,406.3778333333333,4716.601166666666,127.71028037383176,61.91588785046729,POINT (-99.22779398959949 18.77985732151602),18.779857321516015,-99.22779398959949,1867.298111111111,6.966755813089665,8.210305555079346,80.8592543701748
7,8949b32c3c3ffff,2667.112,2737.185,6983.159,0.0,0.0,POINT (-99.19874051509851 18.97913929118574),18.97913929118574,-99.1987405150985,4129.152,46.925048430508646,45.723748949958,119.71608578628859
8,8949b32c59bffff,143.05445,149.4471,479.13825,891.5872727272731,410.23223140495867,POINT (-99.23123252150366 18.94341307932728),18.94341307932728,-99.23123252150366,257.2132666666667,2.5620527678249987,2.452460098403936,8.214127136514032
9,8949b328dc3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.12254823147624 18.89976652635734),18.899766526357336,-99.12254823147624,0.0,0.0,0.0,0.0
10,8949b3272a3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.31709022147585 18.85370309433485),18.853703094334847,-99.31709022147585,0.0,0.0,0.0,0.0
11,8949959228bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.05383627889232 18.97586179760415),18.975861797604146,-99.05383627889232,0.0,0.0,0.0,0.0
12,8949b322e07ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.27699519287749 18.78155837576698),18.781558375766977,-99.2769951928775,0.0,0.0,0.0,0.0
13,8949b325117ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.32474411572376 18.91400777024682),18.91400777024682,-99.32474411572376,0.0,0.0,0.0,0.0
14,8949b32286fffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.28941050748125 18.80493965971122),18.80493965971122,-99.28941050748125,0.0,0.0,0.0,0.0
15,89499592c53ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.10652930509093 18.99840025106231),18.998400251062307,-99.10652930509093,0.0,0.0,0.0,0.0
16,8949865b4cbffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.30383588417104 18.97987017059712),18.97987017059712,-99.30383588417104,0.0,0.0,0.0,0.0
17,8949b32c57bffff,1189.614090909091,1274.0542727272725,2378.920272727273,262.6289855072464,127.37681159420288,POINT (-99.22294484290011 18.95955527115873),18.959555271158727,-99.2229448429001,1614.196212121212,21.841804061772855,20.39420018359176,40.78312171447897
18,8949b32113bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.18510625210996 18.82300695753769),18.82300695753769,-99.18510625210996,0.0,0.0,0.0,0.0
19,89499592ea7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.10476911738367 19.01181968901313),19.011819689013127,-99.10476911738367,0.0,0.0,0.0,0.0
20,8949b320ddbffff,7990.843,5915.621,8964.929,0.0,0.0,POINT (-99.27983098233976 18.83114551770392),18.83114551770392,-99.27983098233976,7623.797666666666,101.4147023023778,136.99135965438617,153.69064476864787
21,8949b32e157ffff,319.23454545454547,319.23454545454547,606.146,763.12,357.6815384615385,POINT (-99.24976281643906 18.91983402391887),18.91983402391887,-99.24976281643906,414.871696969697,5.472811120237017,5.472811120237017,10.391489945312097
22,8949b32ee67ffff,153.04255555555557,180.33022222222223,1868.355277777778,338.28169014084517,156.67605633802813,POINT (-99.2515024288022 18.95402487018504),18.954024870185037,-99.2515024288022,733.909351851852,3.09149889805116,2.62369161433124,32.03022882820075
23,8949b322b67ffff,8819.672,6744.45,9793.758,0.0,0.0,POINT (-99.2896323182743 18.827060851128),18.827060851128,-99.2896323182743,8452.626666666667,115.62376780785516,151.20042515986353,167.89971027412523
24,8949b321bb3ffff,540.7509,666.3267,3869.9308,270.5807662299228,126.9164178033666,POINT (-99.20620090215944 18.87449778755565),18.874497787555647,-99.20620090215944,1692.3361333333332,11.42320035658569,9.27038624402119,66.34432463012806
25,89499592b87ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.11628529824398 19.04193952821085),19.041939528210847,-99.11628529824398,0.0,0.0,0.0,0.0
26,89499593123ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.03527954414129 18.99941242612628),18.999412426126284,-99.03527954414129,0.0,0.0,0.0,0.0
27,8949b328863ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.10074026639306 18.92468246466044),18.924682464660442,-99.10074026639306,0.0,0.0,0.0,0.0
28,89499592cdbffff,936.3928,726.1738,17330.8088,423.21428571428567,202.85714285714283,POINT (-99.10740926690478 18.99169072087558),18.991690720875578,-99.10740926690478,6331.125133333334,12.449191681952993,16.053090123604942,297.1114638871269
29,89499592087ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.0828219758409 18.96700611850687),18.967006118506866,-99.0828219758409,0.0,0.0,0.0,0.0
30,8949b32c06fffff,1294.92275,1364.99575,5610.96975,127.79788049029621,61.45301327885597,POINT (-99.20244862953892 18.97442436683964),18.97442436683964,-99.20244862953892,2756.96275,23.400863177384238,22.199563696833586,96.19190053316419
31,8949b3230afffff,4260.132,3232.472,7012.291,0.0,0.0,POINT (-99.20081883917071 18.74986661575228),18.749866615752282,-99.20081883917071,4834.964999999999,55.41602235517992,73.03375563593971,120.21551147760196
32,8949b32c3cbffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.1954700168625 18.98049858962775),18.980498589627746,-99.1954700168625,0.0,0.0,0.0,0.0
33,8949b32d8d3ffff,8307.8965,8063.3795,11233.5595,0.0,0.0,POINT (-99.17321640309596 19.00878592343914),19.008785923439138,-99.17321640309596,9201.611833333332,138.23489225283296,142.42677992833998,192.5830090346471
34,8949b320917ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.28811361928862 18.86260437802743),18.862604378027427,-99.28811361928862,0.0,0.0,0.0,0.0
35,8949b322867ffff,11705.4228,9630.2008,12679.5088,0.0,0.0,POINT (-99.29267702062732 18.80357790416354),18.80357790416354,-99.29267702062732,11338.377466666667,165.09576040184464,200.672417753853,217.3717028681147
36,8949b3226dbffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.22955276342547 18.71886542100345),18.718865421003454,-99.22955276342547,0.0,0.0,0.0,0.0
37,8949b320327ffff,1141.2105,677.8825,1616.995,32.86046511627907,15.988372093023257,POINT (-99.2334405970127 18.8314328775683),18.831432877568304,-99.2334405970127,1145.3626666666667,11.621307709451235,19.564391147074453,27.72102312663935
38,894995900abffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.05287499840476 19.03017222571536),19.030172225715365,-99.05287499840476,0.0,0.0,0.0,0.0
39,8949b32e423ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.24431944562198 18.89036325090363),18.89036325090363,-99.24431944562198,0.0,0.0,0.0,0.0
40,8949b32eb03ffff,2127.42,1875.401,4377.774,31.8375,15.49375,POINT (-99.26959772508495 18.98141702217124),18.981417022171243,-99.26959772508495,2793.531666666667,32.1510174692702,36.471516003497285,75.0505563079666
41,8949b32f46bffff,193.8234,328.68466666666666,2226.8848666666668,803.4607360185455,379.01246015647627,POINT (-99.16610875502654 18.89751881599902),18.89751881599902,-99.16610875502654,916.464311111111,5.634819678501425,3.322819769933654,38.17669621070557
42,8949b328d53ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.11884076627329 18.90447837149247),18.90447837149247,-99.1188407662733,0.0,0.0,0.0,0.0
43,8949b3270b7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.34323278034826 18.8428035752876),18.842803575287604,-99.34323278034826,0.0,0.0,0.0,0.0
44,8949b328b43ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.09244263919524 18.94081309449134),18.940813094491343,-99.09244263919524,0.0,0.0,0.0,0.0
45,8949b3270c7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.32819637148339 18.83955009377948),18.83955009377948,-99.32819637148339,0.0,0.0,0.0,0.0
46,89499590097ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.05419908704506 19.02010864482535),19.02010864482535,-99.05419908704506,0.0,0.0,0.0,0.0
47,8949b32f4b3ffff,422.4008125,747.9908125000001,893.435625,795.3170731707321,386.34146341463395,POINT (-99.18332537265819 18.88401463748966),18.88401463748966,-99.18332537265819,687.9424166666666,12.823212571359997,7.241446443572028,15.316651951792355
48,8949b32d543ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.15494727355559 18.95926034377085),18.95926034377085,-99.15494727355559,0.0,0.0,0.0,0.0
49,8949b325587ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.33148808546609 18.88579734776587),18.88579734776587,-99.33148808546609,0.0,0.0,0.0,0.0
50,8949b321453ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.15706244046218 18.77759978205997),18.777599782059966,-99.15706244046218,0.0,0.0,0.0,0.0
51,8949b321d4fffff,1057.3534545454545,1732.861818181818,3381.3458181818187,157.03473099267495,76.10703460469816,POINT (-99.21252800402492 18.84965721264917),18.849657212649173,-99.21252800402492,2057.1870303030305,29.707390893038315,18.126784292150905,57.96824704156998
52,8949b321e97ffff,201.20731428571432,584.1932571428572,1261.3522571428568,1404.4607843137246,688.676470588235,POINT (-99.18706027768691 18.83170870282144),18.83170870282144,-99.18706027768691,682.2509428571428,10.015142156706677,3.4494062211468055,21.624046512880916
53,8949b325c57ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.33521650892588 18.92869650499722),18.92869650499722,-99.33521650892588,0.0,0.0,0.0,0.0
54,8949b32c433ffff,355.4913076923077,247.25407692307692,1549.6763076923078,514.5049019607843,231.85294117647055,POINT (-99.21575800621474 18.94350201977398),18.943502019773977,-99.21575800621474,717.4738974358975,4.238810871116163,6.094380478515844,26.566942238129087
55,8949b32f353ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.15845624993474 18.93242232522451),18.932422325224515,-99.15845624993474,0.0,0.0,0.0,0.0
56,8949b327447ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.32709966988187 18.82413620336703),18.824136203367033,-99.32709966988187,0.0,0.0,0.0,0.0
57,8949959232bffff,7968.332,7769.085,23547.262,0.0,0.0,POINT (-99.07470505219202 19.00526103765424),19.005261037654243,-99.07470505219202,13094.892999999998,133.18964187138914,136.60544136051155,403.68349591126497
58,8949b32c513ffff,333.6361363636364,170.64463636363635,1127.1997272727274,961.3072727272731,442.4322314049587,POINT (-99.23035882236786 18.95012414261406),18.950124142614058,-99.23035882236786,543.8268333333334,2.925453641522284,5.719705411593088,19.324196863978457
59,8949b32233bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.25674785106941 18.77096360209902),18.77096360209902,-99.2567478510694,0.0,0.0,0.0,0.0
60,8949b32018bffff,3424.6885,2387.7995,5642.9715,0.0,0.0,POINT (-99.24912410369718 18.80586474465385),18.805864744653846,-99.24912410369718,3818.4865000000004,40.935343128010835,58.711294166052355,96.74052390667055
61,8949b328dd7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.12581630291724 18.89840849927584),18.89840849927584,-99.12581630291724,0.0,0.0,0.0,0.0
62,8949b32231bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.25152411159887 18.7636244329372),18.7636244329372,-99.25152411159887,0.0,0.0,0.0,0.0
63,8949b331b23ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.2230246414625 18.72158673304654),18.721586733046536,-99.2230246414625,0.0,0.0,0.0,0.0
64,8949959054bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.05702859574744 19.02210693006886),19.022106930068862,-99.05702859574744,0.0,0.0,0.0,0.0
65,8949b323217ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.17231121958773 18.75539848883886),18.755398488838864,-99.17231121958773,0.0,0.0,0.0,0.0
66,8949b32e6dbffff,556.787,2119.219,4159.129,20.884146341463413,10.237804878048781,POINT (-99.20815733259295 18.88320161132257),18.883201611322573,-99.20815733259295,2278.3783333333336,36.3309218083009,9.545301812072482,71.30220637396924
67,8949b32acb3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.14678449333273 18.83260910707183),18.83260910707183,-99.14678449333273,0.0,0.0,0.0,0.0
68,89499592a8bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.09036427961162 19.02731288356909),19.027312883569092,-99.09036427961162,0.0,0.0,0.0,0.0
69,8949b32c5a7ffff,652.4262307692309,650.0562307692309,172.8273076923077,431.031456576248,201.97560975609755,POINT (-99.24212861048861 18.95475031436764),18.95475031436764,-99.2421286104886,491.76992307692313,11.144266869575883,11.18489706621232,2.962872361048288
70,8949b32a957ffff,2459.1792,1038.0604,4457.1714,282.51190476190476,139.0,POINT (-99.14761760514776 18.8734890918481),18.873489091848096,-99.14761760514776,2651.470333333333,17.79603298417651,42.15904407604876,76.41170903979017
71,89499592a97ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.09690654699769 19.02459888549154),19.02459888549154,-99.09690654699769,0.0,0.0,0.0,0.0
72,8949b322003ffff,820.4771875000002,378.419625,10644.53525,747.4426229508197,361.3934426229508,POINT (-99.25740289580806 18.74214151040864),18.742141510408644,-99.25740289580806,3947.8106875000008,6.4874530695513535,14.065885849719706,182.48504654471893
73,8949b321c6bffff,911.4966666666668,874.191,933.7893333333333,32.84751203852328,16.04494382022472,POINT (-99.19511105103867 18.84104553605404),18.84104553605404,-99.19511105103867,906.4923333333332,14.986730897807341,15.62628219414491,16.008457481156388
74,89499592a87ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.09646621305576 19.02795387800231),19.027953878002315,-99.09646621305576,0.0,0.0,0.0,0.0
75,8949b3220abffff,1099.686,862.661,11839.135,266.52173913043475,135.21739130434784,POINT (-99.26349703944571 18.74277248977734),18.742772489777344,-99.26349703944571,4600.494,14.789065848348217,18.85251410056402,202.96471858874355
76,8949b32d1c3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.15602361573899 18.97467671657061),18.97467671657061,-99.15602361573899,0.0,0.0,0.0,0.0
77,8949b327057ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.32449452786352 18.84426783592188),18.84426783592188,-99.32449452786352,0.0,0.0,0.0,0.0
78,8949b322e63ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.2700280600108 18.78763545580626),18.78763545580626,-99.2700280600108,0.0,0.0,0.0,0.0
79,8949b3206a3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.21799717024685 18.78393856031088),18.783938560310876,-99.21799717024685,0.0,0.0,0.0,0.0
80,8949959204fffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.06603298285991 18.97714413332537),18.97714413332537,-99.06603298285991,0.0,0.0,0.0,0.0
81,8949b32f6cfffff,1015.025,1924.1971666666666,2934.374,104.6,49.93333333333333,POINT (-99.14498565216529 18.89361287033434),18.893612870334337,-99.14498565216529,1957.8653888888887,32.98755664512294,17.401124616413227,50.30556650837462
82,8949b32e6d3ffff,897.5935,2460.0255,4095.0635,83.53658536585365,40.951219512195124,POINT (-99.21142542473143 18.88184175953028),18.881841759530282,-99.21142542473143,2484.2275000000004,42.17355265639197,15.387932660163548,70.20389672729766
83,8949b3202d7ffff,576.2218181818181,662.9881363636364,703.6426818181817,284.16469038208163,131.80610452349583,POINT (-99.20362358915409 18.79943994655988),18.79943994655988,-99.20362358915409,647.6175454545454,11.365965547712817,9.878483451026352,12.062928491165618
84,8949b321a4bffff,1474.2069,1832.9909,2015.0189,0.0,0.0,POINT (-99.16395510513426 18.86669524460613),18.866695244606134,-99.16395510513426,1774.0722333333333,31.42395810118119,25.27312921088272,34.54456292537416
85,8949b328dbbffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.13430346045548 18.90439604173647),18.904396041736465,-99.13430346045548,0.0,0.0,0.0,0.0
86,8949b32e1a3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.26523697058985 18.91974139264869),18.919741392648692,-99.26523697058985,0.0,0.0,0.0,0.0
87,8949b32745bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.32143378446909 18.8201507407388),18.8201507407388,-99.3214337844691,0.0,0.0,0.0,0.0
88,8949b32e22fffff,387.4032857142857,118.61242857142858,545.2352142857143,544.5588235294117,248.2941176470589,POINT (-99.217943727877 18.9267257175899),18.9267257175899,-99.217943727877,350.4169761904762,2.0334372558575815,6.641464842267159,9.347263278286233
