,hex_id_9,dist_supermercados,dist_hospitales,dist_farmacias,pobtot,pobmas,centroid_coords,lat,lon,dist_promedio,min_farmacias,min_supermercados,min_hospitales
0,8949aa258bbffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.468186797693 20.50547707945481),20.505477079454813,-103.46818679769297,0.0,0.0,0.0,0.0
1,8949aa29cabffff,7558.472,9332.272,7379.624,0.0,0.0,POINT (-103.1621360114812 20.45959947999268),20.459599479992676,-103.16213601148124,8090.122666666666,126.51290051602064,129.57898887384064,159.9882052424954
2,8949aa2e397ffff,4551.951,10055.251,5104.564,0.0,0.0,POINT (-103.3599686673139 20.47771996492915),20.477719964929147,-103.35996866731392,6570.588666666667,87.51031184104507,78.0365671769728,172.38262673364076
3,8949ab4c51bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.6231013407798 20.86839874438068),20.868398744380684,-103.62310134077977,0.0,0.0,0.0,0.0
4,89498c922c7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.1667932644084 20.53892504242152),20.538925042421518,-103.16679326440843,0.0,0.0,0.0,0.0
5,8949aa21917ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3399095481391 20.4245869789556),20.424586978955595,-103.33990954813915,0.0,0.0,0.0,0.0
6,89498c94117ffff,220.68385714285714,425.756,95.09039285714286,3357.4860805469493,1571.7632838371974,POINT (-103.3345762993467 20.70049854066725),20.70049854066725,-103.33457629934666,247.17675,1.6301862278572774,3.783303168861448,7.29896624436406
7,8949aa2eac3ffff,328.78175,3063.410875,709.766875,218.56603773584905,108.67924528301887,POINT (-103.3655042050781 20.51764904250822),20.517649042508218,-103.36550420507807,1367.3198333333332,12.167918859611527,5.636484030789802,52.517715708628344
8,89498cb007bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.432940787616 20.95766523884489),20.957665238844893,-103.43294078761605,0.0,0.0,0.0,0.0
9,8949aa2ac2bffff,6134.393,11751.624,6352.411,0.0,0.0,POINT (-103.2532969793121 20.40370073018678),20.403700730186785,-103.25329697931213,8079.476,108.90283039893023,105.1652294663215,201.46447000737172
10,8949ab49c5bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4182529295866 20.81730871370836),20.81730871370836,-103.41825292958664,0.0,0.0,0.0,0.0
11,8949aa2555bffff,1654.1293,4892.125725,1146.589925,385.69129720853846,194.1155993431855,POINT (-103.4328574046828 20.44595115960514),20.445951159605137,-103.43285740468276,2564.2816500000004,19.656613550256296,28.357636591177933,83.86836716325796
12,89498c8499bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3549662658554 20.90999850026466),20.909998500264656,-103.35496626585535,0.0,0.0,0.0,0.0
13,8949aa25a8bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4390327451079 20.51167348477543),20.511673484775425,-103.4390327451079,0.0,0.0,0.0,0.0
14,8949ab4957bffff,2767.749,8184.062,3732.145,0.0,0.0,POINT (-103.4053675563171 20.78705018434713),20.78705018434713,-103.40536755631709,4894.652,63.98218785894293,47.449023675232716,140.3038178670004
15,8949aa25b07ffff,1302.6571481481483,2079.7474814814814,1363.338148148148,671.8395638629288,328.8006230529594,POINT (-103.4621809623137 20.53416533901216),20.53416533901216,-103.46218096231365,1581.914259259259,23.372446008951467,22.332158683172725,35.65424013785948
16,8949aa2292fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4369578385928 20.37250205798458),20.37250205798458,-103.43695783859276,0.0,0.0,0.0,0.0
17,8949ab58b57ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5037270507308 20.69207645361291),20.692076453612906,-103.50372705073076,0.0,0.0,0.0,0.0
18,8949ab484c7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4561963956364 20.75516077624928),20.755160776249276,-103.45619639563641,0.0,0.0,0.0,0.0
19,8949aa21d5bffff,6975.757,16890.438,3642.797,0.0,0.0,POINT (-103.3264050519518 20.40116773122621),20.401167731226213,-103.32640505195175,9169.663999999999,62.45044658929214,119.58918928185697,289.5619481922134
20,89498c86977ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3812949347145 20.86922863935325),20.86922863935325,-103.38129493471449,0.0,0.0,0.0,0.0
21,8949ab4e48fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.6367383942373 20.79391782032413),20.793917820324133,-103.63673839423731,0.0,0.0,0.0,0.0
22,89498cb2597ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4985207600877 20.87371038883123),20.873710388831228,-103.49852076008773,0.0,0.0,0.0,0.0
23,89498cb223bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4473122844605 20.90902325642545),20.909023256425453,-103.44731228446045,0.0,0.0,0.0,0.0
24,8949aa2c68bffff,1959.1061,6745.1065,2042.6921,0.0,0.0,POINT (-103.3069445562275 20.50080335640294),20.500803356402937,-103.30694455622755,3582.3015666666665,35.018979616327506,33.586019440777626,115.63502254375888
25,8949ab4ca17ffff,29687.99999999998,31044.9,29937.792,0.0,0.0,POINT (-103.6224145708469 20.94050485901776),20.940504859017757,-103.62241457084693,30223.563999999995,513.2398210214122,508.9575011571888,532.2195744972656
26,8949aa6688fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.089915920476 20.48443868420745),20.48443868420745,-103.08991592047603,0.0,0.0,0.0,0.0
27,8949ab5969bffff,711.1130588235294,3905.7326470588237,157.67729411764708,2133.229963369964,1067.6356776556781,POINT (-103.3858583314434 20.60000013317558),20.600000133175577,-103.38585833144337,1591.5076666666666,2.7031474536292377,12.190997219720721,66.95809513052791
28,8949aa27327ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4563809623056 20.4324312437022),20.432431243702204,-103.45638096230564,0.0,0.0,0.0,0.0
29,8949ab5833bffff,759.3526341463415,2715.2805853658538,754.474024390244,1086.3509307293252,552.0543179737563,POINT (-103.4732788530976 20.64666056623085),20.64666056623085,-103.47327885309757,1409.7024146341464,12.934357792430166,13.017994448000916,46.549529158866704
30,89498c9096fffff,709.7718510638298,5087.876765957446,585.319574468085,615.7207207207208,306.94369369369366,POINT (-103.2203079295735 20.6686935333802),20.668693533380196,-103.22030792957352,2127.656063829787,10.034451226073356,12.168004166975189,87.22423352861165
31,8949aa2cc37ffff,1470.9455,5025.6435,1885.1515,0.0,0.0,POINT (-103.3776744846638 20.55469540134953),20.55469540134953,-103.37767448466379,2793.9135,32.31817558416622,25.217217260118975,86.15733486482316
32,89498c972c7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.245251432643 20.6415853844977),20.641585384497695,-103.24525143264297,0.0,0.0,0.0,0.0
33,89498cb2e03ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4864847071633 20.93113664126527),20.931136641265265,-103.48648470716333,0.0,0.0,0.0,0.0
34,89498c923cfffff,3518.621833333333,2041.05175,821.17525,0.0,0.0,POINT (-103.1842812768054 20.55411496503119),20.554114965031193,-103.18428127680544,2126.949611111111,14.077853114124565,60.321644294343194,34.9908582057568
35,89498cb206bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4606099530625 20.90324358343405),20.90324358343405,-103.46060995306246,0.0,0.0,0.0,0.0
36,8949ab4dd37ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.6071256867252 20.93410862458334),20.934108624583338,-103.6071256867252,0.0,0.0,0.0,0.0
37,89498c924a7ffff,923.8375,3910.0095,1283.4635,0.0,0.0,POINT (-103.2076076811694 20.51143846267776),20.51143846267776,-103.20760768116939,2039.1035,22.00311155303355,15.83784779962627,67.03141554233598
38,8949aa2cccbffff,152.5799393939394,2577.056727272727,189.37175757575756,612.4483370288249,307.3028824833703,POINT (-103.3598156676278 20.54292593877758),20.542925938777575,-103.35981566762776,973.0028080808079,3.2465028471268718,2.615760734325477,44.17988251997612
39,8949aa29b23ffff,2086.394,3209.109,1386.762,0.0,0.0,POINT (-103.1566294726027 20.51405003189234),20.514050031892342,-103.15662947260272,2227.4216666666666,23.77401381769556,35.7681850131148,55.01549776276765
40,8949aa2d1cfffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.2747243072225 20.53760941296288),20.537609412962876,-103.27472430722248,0.0,0.0,0.0,0.0
41,89498cb2513ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4915370935527 20.88001026544393),20.880010265443932,-103.49153709355268,0.0,0.0,0.0,0.0
42,8949ab58637ffff,2559.022896551724,5662.776896551723,2325.823896551724,467.6823179250438,230.5427929295996,POINT (-103.4610694349871 20.60960678546565),20.60960678546565,-103.46106943498714,3515.8745632183904,39.87286171249805,43.87071876963748,97.08005857180099
43,8949aa24bcfffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.520499663073 20.5217601516654),20.521760151665404,-103.52049966307302,0.0,0.0,0.0,0.0
44,89498cb04a7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4549217058655 20.92854671830469),20.92854671830469,-103.45492170586552,0.0,0.0,0.0,0.0
45,8949aa2a877ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.2479348465343 20.42556072774618),20.42556072774618,-103.24793484653435,0.0,0.0,0.0,0.0
46,8949ab59503ffff,320.922,1757.545380952381,139.419619047619,925.1455011535502,458.8394642399383,POINT (-103.4289125696958 20.61383850177226),20.613838501772264,-103.42891256969578,739.2956666666668,2.3901462180936206,5.501740069602784,30.130554609939498
47,89498c930a3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.1350136640972 20.53969961525171),20.539699615251713,-103.13501366409722,0.0,0.0,0.0,0.0
48,8949aa2852fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.2098941692029 20.42583212545339),20.42583212545339,-103.20989416920285,0.0,0.0,0.0,0.0
49,8949aa2496fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5453407624229 20.52721447309443),20.527214473094432,-103.54534076242285,0.0,0.0,0.0,0.0
50,8949aa25a63ffff,230.61951282051288,3666.4597435897435,604.875641025641,1428.8529411764716,723.4117647058821,POINT (-103.4343696401994 20.52673901724351),20.52673901724351,-103.43436964019942,1500.6516324786323,10.369711491756373,3.953635508057686,62.85610984878955
51,89498c92a93ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.2129815416429 20.58396941915978),20.58396941915978,-103.21298154164289,0.0,0.0,0.0,0.0
52,8949aa2981bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.1504731205963 20.4809316196183),20.480931619618303,-103.15047312059632,0.0,0.0,0.0,0.0
53,8949aa276c3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4237146214275 20.37828119049637),20.378281190496367,-103.42371462142754,0.0,0.0,0.0,0.0
54,8949ab4912bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4122855251454 20.8133824521389),20.813382452138896,-103.41228552514544,0.0,0.0,0.0,0.0
55,8949ab59507ffff,347.74427777777777,1550.8181111111114,329.70933333333335,977.7574468085105,481.81914893617005,POINT (-103.4318919675952 20.61579973804026),20.61579973804026,-103.43189196759518,742.7572407407409,5.652386095443818,5.961568938948034,26.586516794005096
56,8949aa2504bffff,2435.9,6654.28,1400.973,0.0,0.0,POINT (-103.4093302932842 20.45946757780605),20.459467577806052,-103.40933029328419,3497.051,24.017640705628224,41.75995611253021,114.07793454595325
57,89498c940dbffff,151.02316666666667,618.0185833333334,224.50283333333334,1326.3454545454547,632.5032467532467,POINT (-103.3018119684688 20.67889986490885),20.67889986490885,-103.30181196846875,331.18152777777783,3.848773950958038,2.589072134313944,10.59502808683776
58,8949aa251afffff,251.22228571428565,939.0252857142857,502.6837142857143,945.9163851351352,465.7728040540541,POINT (-103.4523426063836 20.4732882144771),20.473288214477098,-103.45234260638361,564.3104285714286,8.617779813233346,4.306840028703188,16.098220255340824
59,8949aa28a77ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.1967506746383 20.49337341056417),20.49337341056417,-103.19675067463828,0.0,0.0,0.0,0.0
60,8949aa241cfffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5043429399811 20.46037149864729),20.460371498647287,-103.50434293998109,0.0,0.0,0.0,0.0
61,8949aa29b37ffff,1452.797,2575.512,753.165,33.18181818181819,16.81818181818182,POINT (-103.1599445518843 20.51261098930625),20.51261098930625,-103.15994455188427,1593.8246666666666,12.911916476659066,24.90608767207831,44.153400421731156
62,8949aa29b1bffff,2618.4145,4065.2265,2348.5935,0.0,0.0,POINT (-103.1480620899947 20.50475361723821),20.50475361723821,-103.14806208999465,3010.7448333333327,40.263213385678284,44.888901270336525,69.69238483825067
63,89498c94e97ffff,557.9088333333334,2139.972277777778,284.63113888888887,2334.207266933909,1127.062733408709,POINT (-103.3361947090297 20.71608600816984),20.71608600816984,-103.3361947090297,994.1707500000001,4.879586135826385,9.564534009931826,36.686706515879685
64,89498cb236bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4582466763818 20.92710176430321),20.927101764303213,-103.45824667638176,0.0,0.0,0.0,0.0
65,8949ab59633ffff,598.6873333333333,3575.6399,277.1291666666666,1202.2121802002234,592.6713014460511,POINT (-103.3907989838191 20.61414040505151),20.61414040505151,-103.39079898381908,1483.8188,4.750975753315846,10.263621973450366,61.299135965438616
66,8949aa2c553ffff,755.3256,5708.2716,1118.8736,0.0,0.0,POINT (-103.3410233046833 20.5087662819486),20.508766281948603,-103.34102330468328,2527.4902666666667,19.181457544016045,12.948956815415473,97.85999897138743
67,8949aa2551bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4424582202594 20.44502104105606),20.445021041056062,-103.44245822025937,0.0,0.0,0.0,0.0
68,8949aa25ab3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4483017282083 20.51414884632583),20.514148846325835,-103.44830172820828,0.0,0.0,0.0,0.0
69,89498c94307ffff,664.9755238095238,479.5038095238096,548.7995238095239,1259.16,613.2,POINT (-103.3109981512805 20.71400075914036),20.71400075914036,-103.31099815128047,564.4262857142858,9.408368171461552,11.400036409619648,8.220394121887326
70,8949ab5958fffff,405.48055555555555,2384.8133333333335,319.59366666666665,479.5225835591689,237.70686540198736,POINT (-103.4325669955099 20.60898797845644),20.608987978456444,-103.43256699550986,1036.6291851851852,5.478967730137776,6.9513732930269585,40.884149651700355
71,89498cb241bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4673079718915 20.8677171768501),20.867717176850096,-103.46730797189154,0.0,0.0,0.0,0.0
72,8949ab5a293ffff,591.7501111111111,5173.639111111112,1587.6892407407402,197.83603238866402,98.68218623481792,POINT (-103.4820232728164 20.55810245330871),20.558102453308713,-103.48202327281638,2451.0261543209876,27.21861858601327,10.14469340678389,88.69450397063503
73,8949aa2d8b7ffff,289.657,2971.1669230769235,191.239,397.9240506329113,208.0352056962025,POINT (-103.3120348615029 20.57674343133912),20.576743431339118,-103.31203486150287,1150.6876410256411,3.278513997702765,4.965747201316623,50.93632756299263
74,8949ab48a37ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4816118290839 20.85171159962541),20.851711599625407,-103.4816118290839,0.0,0.0,0.0,0.0
75,8949ab494d3ffff,346.3668985507247,4258.23247826087,206.64815942028986,1664.111048265463,809.9343891402706,POINT (-103.3861861740624 20.75627443728737),20.756274437287367,-103.38618617406244,1603.7491787439615,3.542681583039719,5.93795577910073,73.00119110354477
76,8949ab41a1bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5650293659267 20.77950890215401),20.779508902154014,-103.56502936592666,0.0,0.0,0.0,0.0
77,8949aa2108bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.2772591199451 20.35421702721911),20.35421702721911,-103.27725911994507,0.0,0.0,0.0,0.0
78,8949ab4c60bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5785827710172 20.86821837354828),20.86821837354828,-103.57858277101715,0.0,0.0,0.0,0.0
79,8949ab4859bffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4807392624153 20.76404138114716),20.764041381147155,-103.48073926241527,0.0,0.0,0.0,0.0
80,8949aa2106bffff,9940.021,16752.56,9832.095,0.0,0.0,POINT (-103.2692736196846 20.37071160332481),20.370711603324807,-103.26927361968463,12174.892,168.5569422776911,170.40717628705147,287.1982307863743
81,8949ab58103ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4938559515568 20.63117328780326),20.631173287803264,-103.4938559515568,0.0,0.0,0.0,0.0
82,8949aa2de8fffff,301.89329411764703,4828.249,672.5934705882354,264.5027758842169,133.0769258815801,POINT (-103.2819411079652 20.56052018891806),20.560520188918062,-103.28194110796515,1934.2452549019608,11.530635006912883,5.1755206342707485,82.7732937888944
83,89498c86cabffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3697730982705 20.82533574414035),20.825335744140347,-103.36977309827049,0.0,0.0,0.0,0.0
84,8949ab41ac3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5623777723048 20.77414035525426),20.77414035525426,-103.56237777230476,0.0,0.0,0.0,0.0
85,89498c86bd3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3534214284808 20.86177249293083),20.861772492930825,-103.35342142848076,0.0,0.0,0.0,0.0
86,8949ab48a87ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.4796365936 20.83952537611363),20.839525376113635,-103.47963659360003,0.0,0.0,0.0,0.0
87,8949ab58873ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5087245472062 20.67359586749206),20.673595867492057,-103.50872454720624,0.0,0.0,0.0,0.0
88,8949ab40617ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.6015859791822 20.69832353324946),20.698323533249457,-103.60158597918225,0.0,0.0,0.0,0.0
89,89498cb296fffff,23770.249,25127.149,24020.041,0.0,0.0,POINT (-103.5239941346488 20.97028953052304),20.970289530523043,-103.52399413464879,24305.813,411.78860297269034,407.5062831084672,430.76835644854367
90,8949ab5a677ffff,606.944,4528.898,1845.109,15.502024291497975,7.899460188933873,POINT (-103.4793802341012 20.55273672631666),20.552736726316663,-103.47938023410119,2326.983666666667,31.631705268210727,10.405170492533985,77.64135708285474
91,8949ab5abcbffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5290020708741 20.62888964405839),20.62888964405839,-103.52900207087411,0.0,0.0,0.0,0.0
92,8949aa2de17ffff,446.01313333333326,4477.948666666666,547.5624,159.64976655487607,81.59354244755704,POINT (-103.2815998752417 20.56392473236712),20.563924732367123,-103.28159987524167,1823.8413999999996,9.387159486379455,7.646245278382562,76.76790500191436
93,8949ab4b3dbffff,474.2783846153846,2526.773230769231,412.46592307692305,715.9782608695651,343.1521739130435,POINT (-103.4061097859406 20.74761144481593),20.747611444815927,-103.40610978594057,1137.8391794871795,7.071127240694023,8.130811825879627,43.31784524128218
94,8949aa2e6a7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.3467935470775 20.45089354298234),20.450893542982335,-103.34679354707745,0.0,0.0,0.0,0.0
95,8949ab4d04fffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5254078470078 20.8913705213676),20.891370521367598,-103.52540784700777,0.0,0.0,0.0,0.0
96,8949ab4c1b3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.6337286256854 20.88987692653467),20.889876926534665,-103.63372862568545,0.0,0.0,0.0,0.0
97,89498c96a63ffff,602.5488222222224,753.2719555555553,202.4338444444445,1691.9196428571424,783.0803571428565,POINT (-103.3504933157055 20.70009679210724),20.70009679210724,-103.35049331570553,519.4182074074074,3.470433293522218,10.329821573815336,12.913750073812471
98,8949aa2d12bffff,703.496947368421,5971.08052631579,139.74905263157896,403.60469397146795,201.9721583064887,POINT (-103.2829646996373 20.55030670673122),20.550306706731217,-103.28296469963735,2271.4421754385967,2.395793876867857,12.060430086376387,102.36547507013063
99,89498c95dd7ffff,1698.745875,1698.745875,1329.868875,568.0,286.0689655172414,POINT (-103.3033350627682 20.72710251459657),20.727102514596574,-103.30333506276824,1575.786875,22.798664089420715,29.12252275805318,29.12252275805318
100,8949aa24953ffff,0.0,0.0,0.0,0.0,0.0,POINT (-103.5403845843143 20.51307941190565),20.513079411905654,-103.54038458431428,0.0,0.0,0.0,0.0
101,89498c90bd7ffff,1815.986,7541.833,1134.972,0.0,0.0,POINT (-103.1991362326435 20.65834424518088),20.658344245180885,-103.19913623264347,3497.5969999999998,19.45744115478905,31.132433868783323,129.29373746378425
102,89498c9460bffff,581.8791538461539,1226.1357692307693,275.91815384615387,1964.3073899371077,933.040487421384,POINT (-103.2862408320799 20.67589206429395),20.675892064293947,-103.28624083207993,694.644358974359,4.730214703093618,9.975470227600313,21.020311142116014
103,8949ab48b8bffff,5368.125666666666,6725.025666666667,5617.917666666667,0.0,0.0,POINT (-103.4942300821831 20.85274493892291),20.85274493892291,-103.4942300821831,5903.689666666666,96.31101244049762,92.02869257627447,115.29076591635095
