,hex_id_9,dist_supermercados,dist_farmacias,dist_hospitales,pobtot,pobmas,centroid_coords,lat,lon,dist_promedio,min_farmacias,min_supermercados,min_hospitales
0,894988d80d3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.4012293580215 21.86278672585014),21.862786725850142,-102.40122935802151,0.0,0.0,0.0,0.0
1,89498e20db7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.1534484218131 22.05198285702405),22.051982857024054,-102.15344842181311,0.0,0.0,0.0,0.0
2,894988d352fffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.5600745016117 21.75306966086671),21.753069660866714,-102.5600745016117,0.0,0.0,0.0,0.0
3,894988da8d3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.4690428069162 21.85679452245691),21.856794522456905,-102.46904280691624,0.0,0.0,0.0,0.0
4,894988d83c3ffff,7007.7736,6957.7486,10152.9956,0.0,0.0,POINT (-102.398289893285 21.89004303359233),21.89004303359233,-102.398289893285,8039.505933333334,119.28046150417444,120.13806723697519,174.05831547547615
5,894988d14c3ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.499796223877 21.77869144724132),21.778691447241318,-102.49979622387703,0.0,0.0,0.0,0.0
6,89498e36b13ffff,530.0277142857143,340.14285714285717,258.35042857142855,0.0,0.0,POINT (-102.3077893783296 21.95760124176366),21.957601241763662,-102.30778937832964,376.17366666666663,5.831253658309598,9.086552849869097,4.429041651461977
7,894988db233ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.3497792813678 21.83582210510122),21.83582210510122,-102.34977928136779,0.0,0.0,0.0,0.0
8,894988d1e87ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.5282666372896 21.8414119090692),21.841411909069198,-102.52826663728965,0.0,0.0,0.0,0.0
9,89498ea8e77ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.1320058960627 21.72330578833227),21.723305788332272,-102.13200589606271,0.0,0.0,0.0,0.0
10,89498eadad7ffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.2060278294776 21.83490294692038),21.83490294692038,-102.2060278294776,0.0,0.0,0.0,0.0
11,89498eade6bffff,0.0,0.0,0.0,0.0,0.0,POINT (-102.2034215577861 21.82950822947464),21.829508229474637,-102.20342155778614,0.0,0.0,0.0,0.0
