,hex_id_9,dist_supermercados,dist_farmacias,dist_hospitales,pobtot,pobmas,centroid_coords,lat,lon,dist_promedio,min_farmacias,min_supermercados,min_hospitales
0,8949958298fffff,632.895,632.895,7113.722,0.0,0.0,POINT (-99.11435693258834 19.19824947125299),19.19824947125299,-99.11435693258834,2793.170666666667,10.850062573931528,10.850062573931528,121.95439817592703
1,89499580057ffff,293.7128181818182,231.62390909090908,1352.674181818182,639.8725209752474,307.4413012196396,POINT (-99.01900514492579 19.19329140378704),19.19329140378704,-99.01900514492579,626.0036363636365,3.9708544185923276,5.035278294248653,23.189627844854055
2,89499582663ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.03024486068699 19.13153421619058),19.131534216190584,-99.03024486068699,0.0,0.0,0.0,0.0
3,894986490a3ffff,7553.201,6837.12,12929.322,0.0,0.0,POINT (-99.26829342338488 19.22970739728724),19.229707397287235,-99.26829342338488,9106.547666666667,117.2124599269685,129.48862525929607,221.654386175447
4,89499595a73ffff,628.6034285714286,770.5722857142856,8121.408,145.86676082862525,71.20841180163214,POINT (-99.12985464239817 19.19817840294448),19.19817840294448,-99.12985464239817,3173.5279047619056,13.210339025805927,10.776489835103607,139.22970633111038
5,89499586c97ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.24032463709666 19.25402041296452),19.254020412964522,-99.24032463709666,0.0,0.0,0.0,0.0
6,894995b8553ffff,154.90576923076924,133.36953846153847,425.2304615384615,2086.470893970894,968.6403326403329,POINT (-99.15649545974345 19.44443598384987),19.44443598384987,-99.15649545974345,237.8352564102564,2.2864264021110294,2.6556336978753876,7.289956653211182
7,89499594957ffff,5996.388333333333,4996.081333333333,14227.986333333334,0.0,0.0,POINT (-99.23596929316831 19.19228730824968),19.19228730824968,-99.23596929316831,8406.818666666666,85.65053459281226,102.79934054505037,243.9180938666118
8,894995b9cabffff,341.794125,400.9403125,265.1996875,617.5035714285714,280.8,POINT (-99.1225436525902 19.49024411033464),19.490244110334643,-99.1225436525902,335.9780416666667,6.8735374414976596,5.859562239632442,4.546462215631482
9,8949959414fffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.19559755393495 19.14551903160716),19.145519031607158,-99.19559755393495,0.0,0.0,0.0,0.0
10,8949958e24fffff,3046.267,2809.518,4476.199,0.0,0.0,POINT (-98.99977314567418 19.31547837974852),19.315478379748523,-98.99977314567418,3443.994666666667,48.165092317978434,52.22380895235809,76.73790951638064
11,89499583147ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.00184145118858 19.15915112208467),19.159151122084673,-99.00184145118858,0.0,0.0,0.0,0.0
12,894995b92bbffff,320.52721739130436,256.1405652173913,2501.990217391304,1727.9329685362522,824.4514363885088,POINT (-99.06023764370988 19.46831456766375),19.468314567663754,-99.06023764370988,1026.2193333333332,4.391156764282994,5.4949720970205265,42.892976588628756
13,894995864afffff,440.5818888888889,366.1095555555555,8757.996666666666,495.32575757575756,241.03282828282832,POINT (-99.20516863342498 19.21459359500489),19.214593595004892,-99.20516863342498,3188.2293703703704,6.276414866118453,7.553134506332634,150.1430914379432
14,8949864914bffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.26610860064019 19.24650234731453),19.24650234731453,-99.2661086006402,0.0,0.0,0.0,0.0
15,89498649bc7ffff,5021.393,4628.275,8987.473,0.0,0.0,POINT (-99.29015591711041 19.30009081564708),19.300090815647085,-99.29015591711041,6212.3803333333335,79.3450309440949,86.08446623579229,154.07712879943767
16,894995b9d53ffff,116.19395833333333,177.84104166666668,871.8928333333332,1716.5522698022696,793.7717737217735,POINT (-99.12734513575168 19.50097228328616),19.500972283286156,-99.12734513575168,388.6426111111111,3.0488255244495495,1.991976107615733,14.947332179001442
17,894995b8d87ffff,391.2786,147.455,1562.1832,1791.5966386554626,864.3823529411762,POINT (-99.20919499494265 19.49257452299395),19.49257452299395,-99.20919499494265,700.3056,2.527901116044642,6.707901458915499,26.781354682758735
18,89499585c77ffff,248.4343928571428,162.7069642857143,1429.938678571429,1332.1175744755856,616.4873448875675,POINT (-99.1371425159715 19.33171046012252),19.331710460122515,-99.1371425159715,613.6933452380953,2.7893738198507534,4.259045667949166,24.51421505839826
19,89499586e83ffff,0.0,0.0,0.0,0.0,0.0,POINT (-99.21410249810067 19.2648928348985),19.264892834898497,-99.21410249810067,0.0,0.0,0.0,0.0
